ReceiptNo,Date,SupplierName,SupplierPIN,Description,Amount,VATAmount,WithholdingTax,ExpenseCategory,TaxDeductible,SectionOfDeduction
PUR-1021,2023-10-08,Home Afrika,P476590432V,Service,308249,49319.84,0,Motor Vehicle,Y,Section 15(2)
PUR-1022,2023-12-07,Express Kenya,P784385152V,Stationery,352734,56437.44,17636.7,Office Expenses,Y,Section 15(2)(a)
PUR-1023,2023-10-24,Limuru Tea,P830551658V,Team Lunch,470936,75349.76,0,Staff Welfare,N,Section 16(b)
PUR-1024,2023-08-13,Equity Group Holdings,P769377325V,Staff Retreat,473743,75798.88,0,Staff Welfare,N,Section 16(b)
PUR-1025,2023-12-02,Eaagads,P999658993V,Injection Mould,235249,0,0,Capital Equipment,Y,Second Schedule
PUR-1026,2023-09-15,Deacons (East Africa),P197317370V,Flight to Russian Federation,10376.7,5534.24,0,Travel,Y,Section 15(2)(b)
PUR-1027,2023-10-15,Stanbic Holdings,P997410071V,Injection Mould,64542,0,0,Capital Equipment,Y,Second Schedule
PUR-1028,2023-10-17,Trans-Century,P332481865V,Staff Retreat,245756,39320.96,0,Staff Welfare,N,Section 16(b)
PUR-1029,2023-11-10,Nairobi Business Ventures,P373011627V,Office Furniture,445661,71305.76,22283.05,Office Expenses,Y,Section 15(2)(a)
PUR-1030,2023-12-18,Kenya Power & Lighting,P349514253V,Packaging Machine,414338,0,0,Capital Equipment,Y,Second Schedule
PUR-1031,2023-07-31,Homeboyz Entertainment,P777365101V,Tires,215652,34504.32,0,Motor Vehicle,Y,Section 15(2)
PUR-1032,2023-10-12,ABSA Kenya,P266570681V,PE Granules (186kg),152901,24464.16,7645.05,Raw Materials,Y,Section 15(1)
PUR-1033,2023-12-06,Liberty Kenya Holdings,P649788374V,Office Furniture,166260,26601.6,8313.0,Office Expenses,Y,Section 15(2)(a)
PUR-1034,2023-07-27,Nation Media Group,P570690784V,Service,62638,10022.08,0,Motor Vehicle,Y,Section 15(2)
PUR-1035,2023-08-15,Kapchorua Tea Kenya,P176541262V,Tires,172307,27569.12,0,Motor Vehicle,Y,Section 15(2)
PUR-1036,2023-09-16,KCB Group,P327185029V,Injection Mould,30446,0,0,Capital Equipment,Y,Second Schedule
PUR-1037,2023-07-06,Homeboyz Entertainment,P229787929V,PP Granules (216kg),157686,25229.76,7884.3,Raw Materials,Y,Section 15(1)
PUR-1038,2023-12-16,Nairobi Securities Exchange,P724617976V,PE Granules (955kg),76941,12310.56,3847.05,Raw Materials,Y,Section 15(1)
PUR-1039,2023-07-02,Uchumi Supermarket,P790634631V,PVC Granules (763kg),376794,60287.04,18839.7,Raw Materials,Y,Section 15(1)
PUR-1040,2023-08-14,Kenya Airways,P943601475V,Fuel,157125,25140.0,0,Motor Vehicle,Y,Section 15(2)
PUR-1041,2023-09-01,I & M Holdings,P717968232V,Holiday Bonus,259438,41510.08,0,Staff Welfare,N,Section 16(b)
PUR-1042,2023-11-14,Jubilee Holdings,P898856029V,Hotel Accommodation,136522.5,72812.0,0,Travel,Y,Section 15(2)(b)
PUR-1043,2023-10-20,Eaagads,P279823576V,Office Furniture,7649,1223.84,382.45,Office Expenses,Y,Section 15(2)(a)
PUR-1044,2023-09-23,Kakuzi,P231863860V,Injection Mould,259148,0,0,Capital Equipment,Y,Second Schedule
PUR-1045,2023-09-02,Sameer Africa,P550063414V,Service,193383,30941.28,0,Motor Vehicle,Y,Section 15(2)
PUR-1046,2023-12-02,Bamburi Cement,P396001166V,Packaging Machine,162039,0,0,Capital Equipment,Y,Second Schedule
PUR-1047,2023-12-08,Flame Tree Group Holdings,P987067973V,PVC Granules (246kg),449991,71998.56,22499.55,Raw Materials,Y,Section 15(1)
PUR-1048,2023-07-05,ILAM Fahari I-REIT,P554524240V,Team Lunch,42498,6799.68,0,Staff Welfare,N,Section 16(b)
PUR-1049,2023-10-08,Kakuzi,P591078392V,Flight to Bolivia,106205.1,56642.72,0,Travel,Y,Section 15(2)(b)
PUR-1050,2023-07-12,Kenya Airways,P759675042V,Hotel Accommodation,56059.8,29898.56,0,Travel,Y,Section 15(2)(b)
PUR-1051,2023-10-08,KCB Group,P504183099V,Team Lunch,53008,8481.28,0,Staff Welfare,N,Section 16(b)
PUR-1052,2023-10-10,Britam Holdings,P666981016V,Team Lunch,407929,65268.64,0,Staff Welfare,N,Section 16(b)
PUR-1053,2023-12-16,Jubilee Holdings,P442962846V,Stationery,323964,51834.24,16198.2,Office Expenses,Y,Section 15(2)(a)
PUR-1054,2023-07-15,Eaagads,P668393196V,Flight to Madagascar,83238.9,44394.08,0,Travel,Y,Section 15(2)(b)
PUR-1055,2023-11-08,Africa Development Bank (AfDB),P464361573V,Team Lunch,20459,3273.44,0,Staff Welfare,N,Section 16(b)
PUR-1056,2023-11-12,B.O.C Kenya,P694683088V,Packaging Machine,111091,0,0,Capital Equipment,Y,Second Schedule
PUR-1057,2023-12-06,Jubilee Holdings,P768087121V,Holiday Bonus,450586,72093.76,0,Staff Welfare,N,Section 16(b)
PUR-1058,2023-10-18,The Co-operative Bank of Kenya,P326034737V,Printer Ink,361563,57850.08,18078.15,Office Expenses,Y,Section 15(2)(a)
PUR-1059,2023-07-10,Unga Group,P995495592V,Flight to Guadeloupe,113917.8,60756.16,0,Travel,Y,Section 15(2)(b)
PUR-1060,2023-11-12,Uchumi Supermarket,P983123007V,Office Furniture,268740,42998.4,13437.0,Office Expenses,Y,Section 15(2)(a)
PUR-1061,2023-09-17,Kurwitu Ventures,P463151430V,PE Granules (991kg),196372,31419.52,9818.6,Raw Materials,Y,Section 15(1)
PUR-1062,2023-12-10,Car & General (K),P478986677V,Printer Ink,127394,20383.04,6369.7,Office Expenses,Y,Section 15(2)(a)
PUR-1063,2023-10-20,HF Group,P780647442V,Hotel Accommodation,32307.6,17230.72,0,Travel,Y,Section 15(2)(b)
PUR-1064,2023-07-09,Nairobi Securities Exchange,P269170975V,Holiday Bonus,426082,68173.12,0,Staff Welfare,N,Section 16(b)
PUR-1065,2023-10-02,Kapchorua Tea Kenya,P937219087V,Packaging Machine,316283,0,0,Capital Equipment,Y,Second Schedule
PUR-1066,2023-09-28,Nation Media Group,P788305716V,Tires,424039,67846.24,0,Motor Vehicle,Y,Section 15(2)
PUR-1067,2023-07-17,I & M Holdings,P625495204V,Injection Mould,44821,0,0,Capital Equipment,Y,Second Schedule
PUR-1068,2023-11-03,Car & General (K),P625506302V,Packaging Machine,442957,0,0,Capital Equipment,Y,Second Schedule
PUR-1069,2023-07-01,KCB Group,P456625385V,Service,86252,13800.32,0,Motor Vehicle,Y,Section 15(2)
PUR-1070,2023-10-31,E.A Portland Cement,P657266702V,Flight to Vanuatu,77790.6,41488.32,0,Travel,Y,Section 15(2)(b)
PUR-1071,2023-12-29,Jubilee Holdings,P408955295V,Office Furniture,404792,64766.72,20239.6,Office Expenses,Y,Section 15(2)(a)
PUR-1072,2023-11-28,Diamond Trust Bank Kenya,P926591695V,Team Lunch,336925,53908.0,0,Staff Welfare,N,Section 16(b)
PUR-1073,2023-09-30,Standard Chartered Bank Kenya,P679225563V,PE Granules (697kg),397804,63648.64,19890.2,Raw Materials,Y,Section 15(1)
PUR-1074,2023-07-04,Crown Paints Kenya,P723659617V,Staff Retreat,493704,78992.64,0,Staff Welfare,N,Section 16(b)
PUR-1075,2023-08-21,Kenya Power & Lighting,P494979205V,Flight to Paraguay,13620.3,7264.16,0,Travel,Y,Section 15(2)(b)
PUR-1076,2023-11-25,Kenya Power & Lighting,P126080060V,Stationery,355818,56930.88,17790.9,Office Expenses,Y,Section 15(2)(a)
PUR-1077,2023-07-31,Longhorn Publishers,P866381109V,Fuel,293754,47000.64,0,Motor Vehicle,Y,Section 15(2)
PUR-1078,2023-10-11,Standard Group,P286345380V,PVC Granules (721kg),310663,49706.08,15533.15,Raw Materials,Y,Section 15(1)
PUR-1079,2023-11-25,Kapchorua Tea Kenya,P329406228V,Service,169354,27096.64,0,Motor Vehicle,Y,Section 15(2)
PUR-1080,2023-11-28,Centum Investment,P672204132V,Staff Retreat,24218,3874.88,0,Staff Welfare,N,Section 16(b)
PUR-1081,2023-12-14,East African Breweries,P713761013V,Office Furniture,22442,3590.72,1122.1,Office Expenses,Y,Section 15(2)(a)
PUR-1082,2023-12-25,Umeme,P394177143V,Hotel Accommodation,72615.0,38728.0,0,Travel,Y,Section 15(2)(b)
PUR-1083,2023-11-13,Unga Group,P733117161V,PVC Granules (422kg),312622,50019.52,15631.1,Raw Materials,Y,Section 15(1)
PUR-1084,2023-11-18,Trans-Century,P835465411V,Printer Ink,60049,9607.84,3002.45,Office Expenses,Y,Section 15(2)(a)
PUR-1085,2023-09-01,Safaricom,P227376871V,Office Furniture,366953,58712.48,18347.65,Office Expenses,Y,Section 15(2)(a)
PUR-1086,2023-09-06,Eaagads,P294039088V,PE Granules (827kg),182659,29225.44,9132.95,Raw Materials,Y,Section 15(1)
PUR-1087,2023-09-07,Standard Group,P248913723V,Office Furniture,9081,1452.96,454.05,Office Expenses,Y,Section 15(2)(a)
PUR-1088,2023-09-07,Africa Development Bank (AfDB),P762100092V,Hotel Accommodation,108386.1,57805.92,0,Travel,Y,Section 15(2)(b)
PUR-1089,2023-12-14,Homeboyz Entertainment,P441732176V,Hotel Accommodation,64811.4,34566.08,0,Travel,Y,Section 15(2)(b)
PUR-1090,2023-11-28,Liberty Kenya Holdings,P225607895V,Team Lunch,313044,50087.04,0,Staff Welfare,N,Section 16(b)
PUR-1091,2023-07-30,ABSA Kenya,P982685194V,Flight to South Georgia and the South Sandwich Islands,109390.2,58341.44,0,Travel,Y,Section 15(2)(b)
PUR-1092,2023-10-17,The Co-operative Bank of Kenya,P102157369V,Staff Retreat,388154,62104.64,0,Staff Welfare,N,Section 16(b)
PUR-1093,2023-12-02,Uchumi Supermarket,P943971177V,Fuel,216572,34651.52,0,Motor Vehicle,Y,Section 15(2)
PUR-1094,2023-09-25,Flame Tree Group Holdings,P319554303V,Service,234874,37579.84,0,Motor Vehicle,Y,Section 15(2)
PUR-1095,2023-10-08,Britam Holdings,P840571471V,Conveyor Belt,498499,0,0,Capital Equipment,Y,Second Schedule
PUR-1096,2023-09-02,Car & General (K),P316548944V,Injection Mould,234460,0,0,Capital Equipment,Y,Second Schedule
PUR-1097,2023-10-31,Crown Paints Kenya,P110487701V,Flight to Lithuania,10582.2,5643.84,0,Travel,Y,Section 15(2)(b)
PUR-1098,2023-08-17,CIC Insurance Group,P950890102V,Packaging Machine,356355,0,0,Capital Equipment,Y,Second Schedule
PUR-1099,2023-08-28,Equity Group Holdings,P677653107V,PP Granules (899kg),91879,14700.64,4593.95,Raw Materials,Y,Section 15(1)
PUR-1100,2023-12-30,B.O.C Kenya,P529799891V,PVC Granules (284kg),98139,15702.24,4906.95,Raw Materials,Y,Section 15(1)
PUR-1101,2023-08-15,Nairobi Business Ventures,P690476410V,Printer Ink,498060,79689.6,24903.0,Office Expenses,Y,Section 15(2)(a)
PUR-1102,2023-12-01,WPP Scangroup,P823093998V,Hotel Accommodation,117459.6,62645.12,0,Travel,Y,Section 15(2)(b)
PUR-1103,2023-10-11,Centum Investment,P397945543V,Team Lunch,221461,35433.76,0,Staff Welfare,N,Section 16(b)
PUR-1104,2023-09-02,Trans-Century,P112079950V,Fuel,380171,60827.36,0,Motor Vehicle,Y,Section 15(2)
PUR-1105,2023-10-15,E.A Cables,P188974973V,Printer Ink,448213,71714.08,22410.65,Office Expenses,Y,Section 15(2)(a)
PUR-1106,2023-10-11,Diamond Trust Bank Kenya,P994006337V,Team Lunch,264388,42302.08,0,Staff Welfare,N,Section 16(b)
PUR-1107,2023-08-13,Sanlam Kenya,P274046704V,Office Furniture,146375,23420.0,7318.75,Office Expenses,Y,Section 15(2)(a)
PUR-1108,2023-11-28,Express Kenya,P412084030V,Injection Mould,265911,0,0,Capital Equipment,Y,Second Schedule
PUR-1109,2023-08-29,Longhorn Publishers,P205407077V,Service,456513,73042.08,0,Motor Vehicle,Y,Section 15(2)
PUR-1110,2023-10-21,ILAM Fahari I-REIT,P659129598V,Hotel Accommodation,41052.9,21894.88,0,Travel,Y,Section 15(2)(b)
PUR-1111,2023-09-24,Mumias Sugar,P538338433V,Office Furniture,265892,42542.72,13294.6,Office Expenses,Y,Section 15(2)(a)
PUR-1112,2023-10-04,Liberty Kenya Holdings,P838009782V,Packaging Machine,192778,0,0,Capital Equipment,Y,Second Schedule
PUR-1113,2023-08-04,E.A Portland Cement,P683266329V,PVC Granules (864kg),134133,21461.28,6706.65,Raw Materials,Y,Section 15(1)
PUR-1114,2023-11-16,Uchumi Supermarket,P192326734V,Printer Ink,383729,61396.64,19186.45,Office Expenses,Y,Section 15(2)(a)
PUR-1115,2023-12-15,KCB Group,P121498900V,Team Lunch,484741,77558.56,0,Staff Welfare,N,Section 16(b)
PUR-1116,2023-11-20,Unga Group,P856899992V,Staff Retreat,36439,5830.24,0,Staff Welfare,N,Section 16(b)
PUR-1117,2023-12-25,ABSA Kenya,P612763378V,Printer Ink,84771,13563.36,4238.55,Office Expenses,Y,Section 15(2)(a)
PUR-1118,2023-11-21,Stanbic Holdings,P516763956V,Office Furniture,302925,48468.0,15146.25,Office Expenses,Y,Section 15(2)(a)
PUR-1119,2023-10-21,Unga Group,P849063210V,Team Lunch,404726,64756.16,0,Staff Welfare,N,Section 16(b)
PUR-1120,2023-11-21,ABSA Kenya,P265156271V,Flight to Malaysia,138065.7,73635.04,0,Travel,Y,Section 15(2)(b)
PUR-1121,2023-11-12,Kenya Airways,P315645917V,Flight to Nigeria,115009.8,61338.56,0,Travel,Y,Section 15(2)(b)
PUR-1122,2023-08-24,Nation Media Group,P537853629V,Hotel Accommodation,131115.3,69928.16,0,Travel,Y,Section 15(2)(b)
PUR-1123,2023-11-04,Car & General (K),P419367087V,Staff Retreat,322113,51538.08,0,Staff Welfare,N,Section 16(b)
PUR-1124,2023-08-28,KenGen,P994397582V,Injection Mould,320220,0,0,Capital Equipment,Y,Second Schedule
PUR-1125,2023-08-01,Eaagads,P851757981V,Tires,50696,8111.36,0,Motor Vehicle,Y,Section 15(2)
PUR-1126,2023-07-01,Total Kenya,P306807447V,Conveyor Belt,452541,0,0,Capital Equipment,Y,Second Schedule
PUR-1127,2023-08-04,Uchumi Supermarket,P788813932V,PVC Granules (466kg),226159,36185.44,11307.95,Raw Materials,Y,Section 15(1)
PUR-1128,2023-12-11,Mumias Sugar,P809973734V,PVC Granules (657kg),250652,40104.32,12532.6,Raw Materials,Y,Section 15(1)
PUR-1129,2023-11-25,B.O.C Kenya,P123364417V,Fuel,483393,77342.88,0,Motor Vehicle,Y,Section 15(2)
PUR-1130,2023-10-28,Nairobi Securities Exchange,P563145921V,PP Granules (771kg),318530,50964.8,15926.5,Raw Materials,Y,Section 15(1)
PUR-1131,2023-08-09,Centum Investment,P182896867V,Flight to Tuvalu,25086.9,13379.68,0,Travel,Y,Section 15(2)(b)
PUR-1132,2023-10-21,Safaricom,P831873968V,Holiday Bonus,273478,43756.48,0,Staff Welfare,N,Section 16(b)
PUR-1133,2023-12-24,E.A Portland Cement,P204465462V,Holiday Bonus,256859,41097.44,0,Staff Welfare,N,Section 16(b)
PUR-1134,2023-10-11,Britam Holdings,P112163742V,Injection Mould,26413,0,0,Capital Equipment,Y,Second Schedule
PUR-1135,2023-09-15,HF Group,P559603345V,Fuel,198587,31773.92,0,Motor Vehicle,Y,Section 15(2)
PUR-1136,2023-07-16,TPS Eastern Africa (Serena),P233751938V,Staff Retreat,228798,36607.68,0,Staff Welfare,N,Section 16(b)
PUR-1137,2023-11-21,Deacons (East Africa),P262249484V,Conveyor Belt,305701,0,0,Capital Equipment,Y,Second Schedule
PUR-1138,2023-07-09,Africa Development Bank (AfDB),P810016231V,Flight to French Guiana,55815.9,29768.48,0,Travel,Y,Section 15(2)(b)
PUR-1139,2023-10-26,Kenya Orchards,P211039207V,PVC Granules (738kg),361005,57760.8,18050.25,Raw Materials,Y,Section 15(1)
PUR-1140,2023-12-28,E.A Portland Cement,P129080261V,Injection Mould,481855,0,0,Capital Equipment,Y,Second Schedule
PUR-1141,2023-10-26,Total Kenya,P182447445V,Injection Mould,358704,0,0,Capital Equipment,Y,Second Schedule
PUR-1142,2023-12-09,Kakuzi,P440773808V,PE Granules (274kg),49508,7921.28,2475.4,Raw Materials,Y,Section 15(1)
PUR-1143,2023-10-28,Diamond Trust Bank Kenya,P468227549V,PP Granules (527kg),301799,48287.84,15089.95,Raw Materials,Y,Section 15(1)
PUR-1144,2023-12-31,Safaricom,P340485371V,Tires,138768,22202.88,0,Motor Vehicle,Y,Section 15(2)
PUR-1145,2023-11-01,Longhorn Publishers,P199016050V,Printer Ink,158078,25292.48,7903.9,Office Expenses,Y,Section 15(2)(a)
PUR-1146,2023-12-19,Standard Group,P127917044V,Staff Retreat,26236,4197.76,0,Staff Welfare,N,Section 16(b)
PUR-1147,2023-11-13,Crown Paints Kenya,P278921817V,Hotel Accommodation,33279.6,17749.12,0,Travel,Y,Section 15(2)(b)
PUR-1148,2023-09-05,Centum Investment,P605790240V,Tires,277458,44393.28,0,Motor Vehicle,Y,Section 15(2)
PUR-1149,2023-08-05,Kenya Power & Lighting,P480631353V,Printer Ink,474099,75855.84,23704.95,Office Expenses,Y,Section 15(2)(a)
